task_id	task_generation_config_json	env	domain	l1_category	l2_category	suggested_difficulty	suggested_hint	suggested_max_steps	suggested_split	metadata_json
etsy/category/art_objects/29	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for sculptural art objects on Etsy under the Art & Collectibles section, specifically within Sculpture â†’ Art Objects, focusing on pieces that offer free delivery and can be gift-wrapped. Narrow the selection to items priced between $50 and $250, and prioritize listings sorted by top customer reviews.","gt_url": ["https://www.etsy.com/c/art-and-collectibles/sculpture/art-objects?free_shipping=true&gift_wrap=true&min=50&max=250&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/accessories_belts/30	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for belts and braces within Etsyâ€™s Accessories section, specifically under Belts & Suspenders, focusing on items that reflect Etsyâ€™s Picks selection and prioritize free delivery options.","gt_url": ["https://www.etsy.com/c/accessories/belts-and-suspenders?free_shipping=true&is_merch_library=true"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/wallets_and_money_clips/31	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for leather wallets and money clips on Etsy within the Bags & Purses section, specifically under Wallets & Money Clips, prioritizing listings in brown, bronze, and copper tones. Focus on items priced above $100, featuring on-sale offers and genuine leather materials, and sort the results to highlight the highest-priced premium pieces first.","gt_url": ["https://www.etsy.com/c/bags-and-purses/wallets-and-money-clips?is_discounted=true&attr_1=1216%2C3%2C1218&attr_357=161&min=100&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/fiber_art_under_50/32	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for fiber arts listings on Etsy within Art & Collectibles, focusing on handmade or craft-driven textile works. Prioritize items that include both Free Delivery and On Sale offers, are marked as Etsyâ€™s Picks, priced under $50, and sort the results from lowest to highest price to surface the most accessible, budget-friendly creations first.","gt_url": ["https://www.etsy.com/c/art-and-collectibles/fiber-arts?free_shipping=true&is_discounted=true&is_merch_library=true&max=50&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/abstract_and_geometric_art/33	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for wall-mounted mixed media and collage art on Etsy within Art & Collectibles â†’ Mixed Media & Collage, focusing specifically on abstract and geometric subject matter. Prioritize higher-end listings, sorted by highest price first, to surface premium wall-mounted art pieces suitable for display installations or curated interior dÃ©cor.","gt_url": ["https://www.etsy.com/c/art-and-collectibles/mixed-media-and-collage?attr_515=2817&attr_612=909&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/luggage_bag/34	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under bags-and-purses->luggage-and-travel. Apply the following filters: Special Offers: On Sale, Etsy's Best: Star Seller, Sort By: Top Customer Reviews","gt_url": ["https://www.etsy.com/c/bags-and-purses/luggage-and-travel?is_discounted=true&is_star_seller=true&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/essential_oils/35	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under bath-and-beauty->essential-oils. Apply the following filters: Ordering Options: Can be gift wrapped, Price: 75 USD - 100 USD, Sort By: Most Recent","gt_url": ["https://www.etsy.com/c/bath-and-beauty/essential-oils?gift_wrap=true&min=75&max=100&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/kitchen_and_dining/36	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under home-and-living->kitchen-and-dining. Apply the following filters: Etsy Best: Etsy's Pick, Sort By: Top Customer reviews","gt_url": ["https://www.etsy.com/c/home-and-living/kitchen-and-dining?is_merch_library=true&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/wedding_theme_invitation/37	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under weddings->invitations-and-paper. Apply the following filters: Item Format: Digital Download, Wedding Theme: Minimalist, Sort By: Lowest Price","gt_url": ["https://www.etsy.com/c/weddings/invitations-and-paper?instant_download=true&attr_480=2393&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/on_sale_curtains/38	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under home-and-living->curtains-and-window-treatments/->curtains. Apply the following filters: Special Offers: Free Delivery, Special Offers: On Sale, Etsys Best: Star Seller, Sort By: Top Customers review","gt_url": ["https://www.etsy.com/c/home-and-living/curtains-and-window-treatments/curtains?&free_shipping=true&is_discounted=true&is_star_seller=true&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	easy	null	null	validation	null
etsy/category/tv_and_projections/39	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under electronics-and-accessories->tv-and-projection->projectors. Apply the following filters: Special Offers: Free Delivery, Sort By: Most Recent","gt_url": ["https://www.etsy.com/c/electronics-and-accessories/tv-and-projection/projectors?free_shipping=true&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/jewellery_storage/40	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for jewelry storage items on Etsy within the Jewelry category, focusing on curated listings marked Etsyâ€™s Picks and On Sale. Sort the results by lowest price first to surface the most affordable storage solutions, while still prioritizing featured, high-quality organizers designed for practical jewelry organization.","gt_url": ["https://www.etsy.com/c/jewelry/jewelry-storage?is_discounted=true&is_merch_library=true&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/jewellery_storage_box/41	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under jewelry->jewelry-storage->jewelry-boxes. Apply the following filters: Special Offers: On Sale, Special Offers: Free Delivery, Sort By: Most Recent","gt_url": ["https://www.etsy.com/c/jewelry/jewelry-storage/jewelry-boxes?free_shipping=true&is_discounted=true&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/entryway_furnitures/42	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under home-and-living->furniture->entryway-furniture (Hallway and mudroom furniture). Apply the following filters: Special Offers: Free Delivery, Etsy's Best: Star Seller, Price: 500 USD - 1000 USD","gt_url": ["https://www.etsy.com/c/home-and-living/furniture/entryway-furniture?free_shipping=true&is_star_seller=true&min=500&max=1000"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/dining_furnitures/43	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for dining room furniture on Etsy within Home & Living â†’ Furniture â†’ Dining Room Furniture, focusing on pieces that match a neutral palette in beige and brown tone colours. Prioritize listings from Etsyâ€™s Star Sellers to ensure reliable quality and service, narrowing results to curated, well-reviewed dining pieces that fit a cohesive warm-toned interior style.","gt_url": ["https://www.etsy.com/c/home-and-living/furniture/dining-room-furniture?is_star_seller=true&attr_1=1213%2C3"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/pet_health_and_wellness/44	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under pet-supplies->pet-health-and-wellness.  Apply the following filters: Special Offers: Free Delivery, Sort By; Top Customer reviews","gt_url": ["https://www.etsy.com/c/pet-supplies/pet-health-and-wellness?free_shipping=true&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/digital_illustration/45	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under art-and-collectibles->drawing-and-illustration->digital.  Apply the following filters: Item Format: digital download, Price: 10 USD - 25 USD Sort By; Top Customer reviews","gt_url": ["https://www.etsy.com/c/art-and-collectibles/drawing-and-illustration/digital?instant_download=true&min=10&max=25&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/batteries_and_charging/46	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under electronics-and-accessories->batteries-and-charging.  Apply the following filters: Special Offers: Free Delivery, Special Offers: On Sale, Sort By; Top Customer reviews","gt_url": ["https://www.etsy.com/c/electronics-and-accessories/batteries-and-charging?free_shipping=true&is_discounted=true&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/3d_printing/47	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under craft-supplies-and-tools->sculpting-and-forming->3d-printing.  Apply the following filters: Etsy's Best: Star Seller, Price: above 100 USD, Sort By; Top Most Recent","gt_url": ["https://www.etsy.com/c/craft-supplies-and-tools/sculpting-and-forming/3d-printing?is_star_seller=true&min=100&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	easy	null	null	validation	null
etsy/category/brooches_pins_and_clips/48	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under jewelry->brooches-pins-and-clips->brooches.  Apply the following filters: Special Offers: On Sale, Sort By; Top Most Recent","gt_url": ["https://www.etsy.com/c/jewelry/brooches-pins-and-clips/brooches?is_discounted=true&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	easy	null	null	validation	null
etsy/search/premium_car_models/49	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for the On sale, Star seller premium car models under 100 USD with colours as Black, Grey, Silver and Beige","gt_url": ["https://www.etsy.com/search?q=premium+car+models&is_discounted=true&is_star_seller=true&attr_1=1%2C5%2C1213%2C1215&max=100"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	hard	null	null	validation	null
etsy/search/zodiac_canvas/50	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for the black and gold (colours) zodiac canvas that can arrive within 14 days under 30 USD - 80 USD, sort by top reviews","gt_url": ["https://www.etsy.com/search?q=zodiac+canvas&attr_1=1214%2C1&min=30&max=80&delivery_days=14&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	hard	null	null	validation	null
etsy/search/boho_wall_art/51	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for the On sale, Etsy's Picks Boho wall art with terracotta colors with orange, beige and brown colours under 50 USD, sort by price: high to low","gt_url": ["https://www.etsy.com/search?q=boho+wall+art+with+terracotta+colors&is_discounted=true&is_merch_library=true&max=50&attr_1=6%2C1213%2C3&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	hard	null	null	validation	null
etsy/category/linen_shirt/52	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under clothing->mens-clothing (men's western clothing)->shirts-and-tees.  Apply the following filters: Special Offers: On Sale, Price: under 150 USD, Colour: White and Beige, Material: Linen, Sleeve length: Long Sleeves, Sort By: Price: HIgh to Low","gt_url": ["https://www.etsy.com/c/clothing/mens-clothing/shirts-and-tees?is_discounted=true&max=150&attr_1=1213%2C10&attr_357=162&attr_408=2671&ship_to=US&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/music_and_movies/53	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under books-movies-and-music->music.  Apply the following filters: Special Offers: On Sale, Special Offers: Free delivery, Price: USD 75- USD 100, Etsy's Best: Etsy's Picks, Sort By: Most recent","gt_url": ["https://www.etsy.com/c/books-movies-and-music/music?free_shipping=true&is_discounted=true&is_merch_library=true&min=75&max=100&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/diamond_ring/54	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under jewelry-> rings-> wedding-and-engagement.  Apply the following filters: Special Offers: On Sale, Etsy's Best: Star seller, Price: USD 500- USD 1000, Size: 3 1/2, Material: Rose Gold, White Gold and Yellow Gold, Gemstone: Diamond, Recepient: Women, Sort By: Highest Price","gt_url": ["https://www.etsy.com/c/jewelry/rings/wedding-and-engagement?is_discounted=true&is_star_seller=true&attr_290=1484&attr_357=230%2C285%2C139&attr_308=1060&attr_342=2310&min=500&max=1000&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/anniversary_ring/55	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under jewelry-> rings-> solitaire-rings.  Apply the following filters: Etsy's Best: Star seller, Size: 4, Occassion: Anniversary, Gemstone: ruby, Gem Color: Red, Receipent: Women, Cut Type: Oval, Pear, Sort By: Highest Price","gt_url": ["https://www.etsy.com/c/jewelry/rings/solitaire-rings?is_star_seller=true&attr_290=1492&attr_3=12&attr_308=234&attr_340=9&attr_342=2310&attr_667=353%2C354&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
